,var_type,in_degree,out_degree,betweenness,pagerank,eigenvector
capacity_utilization_fraction,component,2,2,0.06182700225496666,0.013572740617084309,0.0295999335971472
capacity_utilization_fraction_table,lookup,0,1,0.0,0.0006492933606488698,0.00449491914911887
delayed_labor_utilization_fraction,stateful,2,1,0.06119005957980743,0.014536982276401355,0.0049901318748095625
completed_multiplier_from_perceived_lifetime,component,3,1,0.006590136582314481,0.0035705654587224536,0.007851171161025182
perceived_life_expectancy,stateful,2,1,0.005900987429649852,0.0027064332668944894,0.005619055772829537
one_year,constant,0,8,0.0,0.0006492933606488698,0.023991537544236444
completed_multiplier_from_perceived_lifetime_table,lookup,0,1,0.0,0.0006492933606488698,0.0011922010344756423
consumed_industrial_output,component,2,1,0.0015906716543659214,0.004014921864751313,0.041566167935208655
fraction_of_industrial_output_allocated_to_consumption,component,4,2,0.014413343197679923,0.00441092944562439,0.12447204265529574
industrial_output,component,4,12,0.16971054358685825,0.021034142808846377,0.13239079965104888
consumed_industrial_output_per_capita,component,2,0,0.0,0.004761371671936922,0.01686635197804638
crowding_multiplier_from_industry,component,3,1,0.022079179256996408,0.001421303030093899,0.03639285147324136
crowding_multiplier_from_industry_table,lookup,0,1,0.0,0.0006492933606488698,0.005527118037511934
gdp_pc_unit,constant,0,16,0.0,0.0006492933606488698,0.10912615844897328
fraction_of_agricultural_inputs_allocated_to_land_development,component,3,2,0.02580215693045538,0.01337155067156285,0.011737268388936658
total_agricultural_investment,component,2,2,0.03264995813676431,0.004662113284839515,0.049300055752996993
death_rate,component,3,0,0.0,0.004806059783914967,0.014990526722557641
deaths_0_to_14,component,2,2,0.009681937287555628,0.005460334934279444,0.009727038795070394
deaths_15_to_44,component,2,2,0.010342012436879376,0.002837873192203244,0.010088576863637837
deaths_65_plus,component,2,2,0.012016082461403569,0.004924191684863143,0.0068032609594587835
deaths_45_to_64,component,2,2,0.01036318704570802,0.002856444107193226,0.007364472922120838
mortality_0_to_14,component,3,2,0.02912091545540212,0.0027754188544849546,0.011379702719037052
population_0_to_14,stateful,4,3,0.08105819761028615,0.01281864627593217,0.02982824631991664
mortality_15_to_44,component,3,2,0.03092161750114356,0.0027754188544849546,0.011090197230341343
population_45_to_64,stateful,4,4,0.030255608576651192,0.004836253003216837,0.015469199497537492
mortality_45_to_64,component,3,2,0.029939117292752133,0.0027754188544849546,0.010179597179672123
population_65_plus,stateful,3,2,0.02027456053650003,0.004508740802344438,0.012768161127865973
mortality_65_plus,component,3,1,0.012784457752071854,0.0027754188544849546,0.009185360603907573
delayed_industrial_output_per_capita,stateful,2,1,0.008292050011795235,0.0013868102362986664,0.022951842889193566
social_adjustment_delay,constant,0,1,0.0,0.0006492933606488698,0.0034857470549272953
labor_utilization_fraction_delay_time,constant,0,1,0.0,0.0006492933606488698,0.0007577961842261068
labor_utilization_fraction,component,2,1,0.06055311690464821,0.015695508461405546,0.002503022078084775
desired_completed_family_size,component,5,1,0.023812893876588127,0.006304296360641946,0.0895743319762005
zero_population_growth_time,constant,0,1,0.0,0.0006492933606488698,0.013601578108061063
family_response_to_social_norm,component,2,1,0.010647726889765103,0.0029127913226201676,0.017508352714198705
social_family_size_normal,component,3,1,0.008999764095305497,0.0024144501324333935,0.03445477340772408
desired_completed_family_size_normal,constant,0,1,0.0,0.0006492933606488698,0.013601578108061063
desired_food_ratio,constant,0,1,0.0,0.0006492933606488698,0.003568613084963445
desired_persistent_pollution_index,constant,0,1,0.0,0.0006492933606488698,0.0034449200588058983
desired_resource_use_rate,constant,0,1,0.0,0.0006492933606488698,0.004583020679488047
desired_total_fertility,component,2,2,0.031029862932868874,0.009044420631648913,0.020900799310349747
development_cost_per_hectare,component,3,2,0.007265864590705354,0.006496508977551774,0.004383979305847723
development_cost_per_hectare_table,lookup,0,1,0.0,0.0006492933606488698,0.0006657007935399674
potentially_arable_land,stateful,2,1,0.004889967310349476,0.005906001029747975,0.002600153884722537
potentially_arable_land_total,constant,0,2,0.0,0.0006492933606488698,0.000994680945544454
education_index,component,3,1,0.0007700603242004512,0.001839719140214022,0.02404681946105484
gdp_per_capita,component,3,2,0.0072220537188690025,0.001421303030093899,0.039426173860775
education_index_lookup,lookup,0,1,0.0,0.0006492933606488698,0.003652129713064264
effective_health_services_per_capita,stateful,2,2,0.015173399826114414,0.0024953012184341255,0.014807377194724818
health_services_impact_delay,constant,0,2,0.0,0.0006492933606488698,0.004991252047154681
health_services_per_capita,component,3,1,0.01592386314861292,0.001847480750257004,0.026401866088717665
family_income_expectation,component,2,1,0.010010784214605871,0.002013704812840514,0.023065685341519367
family_response_to_social_norm_table,lookup,0,1,0.0,0.0006492933606488698,0.0026586976149924006
fecundity_multiplier,component,3,1,0.0112871675532308,0.0027754188544849546,0.009324755992610831
life_expectancy,component,5,7,0.1276261910942162,0.012392350811250369,0.028298708825630247
fecundity_multiplier_table,lookup,0,1,0.0,0.0006492933606488698,0.0014159935029493327
fertility_control_allocation_per_capita,component,2,1,0.016939879787923467,0.006623177731048823,0.01006203151242546
service_output_per_capita,component,2,5,0.04677730922314372,0.0036017875046444278,0.045906191044819224
fraction_services_allocated_to_fertility_control,component,2,1,0.006096451319381256,0.006308089766947746,0.0022932846291087985
fertility_control_effectiveness,component,5,1,0.01986130211007692,0.007381438483922368,0.1038793489912875
fertility_control_effectiveness_table,lookup,0,1,0.0,0.0006492933606488698,0.015774118093920767
fertility_control_effectiveness_time,constant,0,1,0.0,0.0006492933606488698,0.015774118093920767
fertility_control_facilities_per_capita,stateful,2,1,0.0172151636543508,0.006555582094723577,0.018060121440375183
final_time,constant,0,0,0.0,0.0006492933606488698,6.673325845810248e-44
food,component,4,4,0.08480434353500771,0.005730216995861948,0.03508738836426994
land_yield,component,4,5,0.0739561326685986,0.012414193150758536,0.06279487688746066
processing_loss,constant,0,1,0.0,0.0006492933606488698,0.0053281676016940826
land_fraction_harvested,constant,0,1,0.0,0.0006492933606488698,0.0053281676016940826
food_per_capita,component,2,4,0.1039276549176205,0.0025669033619715453,0.03640882967947189
food_ratio,component,2,2,0.032055671227406296,0.001470637127783241,0.009855279682720396
subsistence_food_per_capita,constant,0,2,0.0,0.0006492933606488698,0.003097063529145852
food_shortage_perception_delay,constant,0,1,0.0,0.0006492933606488698,0.0002874443816385131
fraction_industrial_output_allocated_to_agriculture_table_1,lookup,0,1,0.0,0.0006492933606488698,0.00871458177894386
fraction_industrial_output_allocated_to_agriculture_table_2,lookup,0,1,0.0,0.0006492933606488698,0.00871458177894386
marginal_productivity_of_agricultural_inputs,component,4,1,0.014924959110582402,0.008245993840979236,0.03766332745016823
marginal_productivity_of_land_development,component,3,1,0.008501300539517097,0.006071930929440093,0.012265888976398309
fraction_of_agricultural_inputs_allocated_to_land_development_table,lookup,0,1,0.0,0.0006492933606488698,0.0017822554813764298
perceived_food_ratio,stateful,2,1,0.013968952053574438,0.0018263048822064316,0.0018929097309600303
fraction_of_agricultural_inputs_for_land_maintenance_table,lookup,0,1,0.0,0.0006492933606488698,0.0003527051527404673
fraction_of_agricultural_inputs_from_persistent_materials,constant,0,1,0.0,0.0006492933606488698,0.0013751392690382388
fraction_of_capital_allocated_to_obtaining_resources_1,component,2,1,0.0081174083221399,0.0022941646681022593,0.01692150328760935
fraction_of_capital_allocated_to_obtaining_resources_1_table,lookup,0,1,0.0,0.0006492933606488698,0.0025694925865927887
fraction_of_resources_remaining,component,2,2,0.016699885899157968,0.002572539167534624,0.0068946432242923865
fraction_of_capital_allocated_to_obtaining_resources_2,component,2,1,0.0081174083221399,0.0022941646681022593,0.01692150328760935
fraction_of_capital_allocated_to_obtaining_resources_2_table,lookup,0,1,0.0,0.0006492933606488698,0.0025694925865927887
fraction_of_industrial_capital_allocated_to_obtaining_resources,component,4,1,0.018745853613915498,0.005125920743993795,0.10197318008989145
fraction_of_industrial_capital_allocated_to_obtaining_resources_switch_time,constant,0,1,0.0,0.0006492933606488698,0.015484373810428548
fraction_of_industrial_output_allocated_to_agriculture,component,4,2,0.030174388250341078,0.005933321402030471,0.1666875697055037
fraction_of_industrial_output_allocated_to_agriculture_1,component,3,1,0.014674192406436337,0.003073788914722514,0.05739040285386393
fraction_of_industrial_output_allocated_to_agriculture_2,component,3,1,0.014674192406436337,0.003073788914722514,0.05739040285386393
indicated_food_per_capita,component,4,2,0.009827115559599637,0.0031229744904923812,0.1661369001095983
industrial_equilibrium_time,constant,0,1,0.0,0.0006492933606488698,0.018900613388419422
fraction_of_industrial_output_allocated_to_consumption_constant,component,4,1,0.003518350015165302,0.0018105507517550338,0.1564846355895838
fraction_of_industrial_output_allocated_to_consumption_variable,component,3,1,0.008473262990083797,0.001938694937022388,0.03783575560838626
fraction_of_industrial_output_allocated_to_consumption_constant_1,constant,0,1,0.0,0.0006492933606488698,0.023761402091658394
fraction_of_industrial_output_allocated_to_consumption_constant_2,constant,0,1,0.0,0.0006492933606488698,0.023761402091658394
industrial_output_per_capita_desired,constant,0,1,0.0,0.0006492933606488698,0.005745715840286104
fraction_of_industrial_output_allocated_to_consumption_variable_table,lookup,0,1,0.0,0.0006492933606488698,0.005745715840286104
fraction_of_industrial_output_allocated_to_investment,component,3,1,0.04731496410061502,0.007614852325333405,0.07510405515860749
fraction_of_industrial_output_allocated_to_services,component,4,2,0.023999977869834235,0.006045233862659035,0.16707714827967662
fraction_of_industrial_output_allocated_to_services_1,component,3,1,0.011637116963764889,0.003140197393039183,0.059007589468120375
fraction_of_industrial_output_allocated_to_services_2,component,3,1,0.011637116963764889,0.003140197393039183,0.059007589468120375
indicated_services_output_per_capita,component,4,2,0.009355306170592796,0.0031229744904923812,0.1666524923528202
fraction_of_industrial_output_allocated_to_services_table_1,lookup,0,1,0.0,0.0006492933606488698,0.008960201339295941
fraction_of_industrial_output_allocated_to_services_table_2,lookup,0,1,0.0,0.0006492933606488698,0.008960201339295941
fraction_of_output_in_agriculture,component,4,0,0.0,0.005794003518396751,0.03597663063660654
price_of_food,constant,0,3,0.0,0.0006492933606488698,0.01638977999790956
service_output,component,3,4,0.029345253960813562,0.010588574881128403,0.05304745853635441
fraction_of_output_in_industry,component,4,0,0.0,0.005794003518396751,0.03597663063660654
fraction_of_output_in_services,component,4,0,0.0,0.005794003518396751,0.03597663063660654
fraction_of_population_urban,component,3,1,0.008062885451420485,0.0024531917568465537,0.012942022612398699
unit_population,constant,0,1,0.0,0.0006492933606488698,0.001965537846512329
fraction_of_population_urban_table,lookup,0,1,0.0,0.0006492933606488698,0.001965537846512329
fraction_of_resources_from_persistent_materials,constant,0,1,0.0,0.0006492933606488698,0.0048775010241729234
initial_nonrenewable_resources,constant,0,2,0.0,0.0006492933606488698,0.002433129185053591
nonrenewable_resources,stateful,2,1,0.01607305342519174,0.001936785471116404,0.00912808095633109
need_for_fertility_control,component,2,1,0.00545950864422202,0.006007022438336976,0.0046913364483206505
fraction_services_allocated_to_fertility_control_table,lookup,0,1,0.0,0.0006492933606488698,0.0003482555646552158
gdp_index,component,3,1,0.0007700603242004512,0.0023571110471425107,0.007253994909368476
ref_hi_gdp,constant,0,1,0.0,0.0006492933606488698,0.0011017525799944508
ref_lo_gdp,constant,0,1,0.0,0.0006492933606488698,0.0011017525799944508
gdp_per_capita_lookup,lookup,0,1,0.0,0.0006492933606488698,0.005987846724822795
health_services_per_capita_table,lookup,0,1,0.0,0.0006492933606488698,0.004009661814586458
human_ecological_footprint,component,4,0,0.0,0.00955730367825883,0.0012702201821735242
urban_land_gha,component,2,1,4.886597243285141e-05,0.002200847104022363,0.0005072096075586683
total_land,constant,0,1,0.0,0.0006492933606488698,0.00019288737263802657
human_welfare_index,component,3,0,0.0,0.0065754825148836935,0.006132934287220407
life_expectancy_index,component,3,1,0.0013817274963771778,0.0027754188544849546,0.009081271363877642
ind_out_in_1970,constant,0,2,0.0,0.0006492933606488698,0.011392741152301263
indicated_food_per_capita_2,component,3,1,0.004569810939237691,0.001421303030093899,0.06038290376524966
indicated_food_per_capita_1,component,3,1,0.004569810939237691,0.001421303030093899,0.06038290376524966
indicated_food_per_capita_table_1,lookup,0,1,0.0,0.0006492933606488698,0.00916989276352328
indicated_food_per_capita_table_2,lookup,0,1,0.0,0.0006492933606488698,0.00916989276352328
indicated_services_output_per_capita_2,component,3,1,0.00433390624473427,0.001421303030093899,0.06046306626923901
indicated_services_output_per_capita_1,component,3,1,0.00433390624473427,0.001421303030093899,0.06046306626923901
indicated_services_output_per_capita_table_1,lookup,0,1,0.0,0.0006492933606488698,0.009182069324782166
indicated_services_output_per_capita_table_2,lookup,0,1,0.0,0.0006492933606488698,0.009182069324782166
industrial_capital,stateful,3,3,0.0572089224932718,0.013678784707950073,0.03200932231519928
industrial_capital_investment,component,2,1,0.049551287606337556,0.008616415580068686,0.03636919583114736
initial_industrial_capital,constant,0,1,0.0,0.0006492933606488698,0.004860795660558066
industrial_capital_depreciation,component,2,1,0.005281737606578371,0.006066938325069106,0.026247938397423246
industrial_capital_output_ratio,component,4,1,0.04465289656803476,0.007515978987898939,0.15989173840498871
industrial_capital_output_ratio_2,component,3,1,0.04337342653515253,0.0073592668397884555,0.03775531518090404
industrial_capital_output_ratio_1,constant,0,1,0.0,0.0006492933606488698,0.024278970592656195
industrial_capital_output_ratio_multiplier_from_land_yield_technology,component,2,1,0.00991093647575617,0.0027511448559339193,0.02954007821412396
industrial_capital_output_ratio_multiplier_from_pollution_technology,component,2,1,0.013157835996780491,0.002324560779441489,0.029974749708004754
industrial_capital_output_ratio_multiplier_from_resource_conservation_technology,component,2,1,0.017938866983452973,0.0028198973873071226,0.029236007493729524
land_yield_multiplier_from_technology,component,4,2,0.018119769902969943,0.0036466517853518936,0.1523003891556807
industrial_capital_output_ratio_multiplier_table,lookup,0,1,0.0,0.0006492933606488698,0.004485491361568871
industrial_capital_output_ratio_multiplier_from_pollution_table,lookup,0,1,0.0,0.0006492933606488698,0.00455151063506266
persistent_pollution_generation_factor,component,4,3,0.01749089972474868,0.003968010151624306,0.1550963706944083
resource_use_factor,component,4,2,0.018240487985710915,0.003804452156231482,0.15034322248402854
industrial_capital_output_ratio_multiplier_from_resource_table,lookup,0,1,0.0,0.0006492933606488698,0.0044393425916163165
industrial_material_emissions_factor,constant,0,1,0.0,0.0006492933606488698,0.0048775010241729234
industrial_material_toxicity_index,constant,0,1,0.0,0.0006492933606488698,0.0048775010241729234
inherent_land_fertility,constant,0,3,0.0,0.0006492933606488698,0.008032734295178484
initial_land_fertility,constant,0,1,0.0,0.0006492933606488698,0.00159259814020245
initial_persistent_pollution,constant,0,1,0.0,0.0006492933606488698,0.0002418595926482735
initial_population_0_to_14,constant,0,1,0.0,0.0006492933606488698,0.004529662485762544
initial_population_15_to_44,constant,0,1,0.0,0.0006492933606488698,0.004935156895110295
initial_population_54_to_64,constant,0,1,0.0,0.0006492933606488698,0.0023493285031585313
initial_population_65_plus,constant,0,1,0.0,0.0006492933606488698,0.0019391196065559266
initial_potentially_arable_land,constant,0,1,0.0,0.0006492933606488698,0.00039483501600136046
initial_service_capital,constant,0,1,0.0,0.0006492933606488698,0.0031563972677683006
initial_time,constant,0,0,0.0,0.0006492933606488698,6.673325845810248e-44
initial_urban_and_industrial_land,constant,0,1,0.0,0.0006492933606488698,0.000125882871498802
jobs,component,3,1,0.05171754373756195,0.01446225254643355,0.003646126534416405
potential_jobs_agricultural_sector,component,2,1,0.030869068080169062,0.005662092697741132,0.003036114468314086
potential_jobs_industrial_sector,component,2,1,0.006081990667977926,0.005736134669267976,0.01092113849830893
potential_jobs_service_sector,component,2,1,0.012400697910252053,0.0048566443884722615,0.007548413614543521
jobs_per_hectare,component,3,1,0.010026960536514678,0.003701898353963592,0.0030755649392373344
jobs_per_hectare_table,lookup,0,1,0.0,0.0006492933606488698,0.00046701998934175554
unit_agricultural_input,constant,0,3,0.0,0.0006492933606488698,0.0045175177328289655
jobs_per_industrial_capital_unit,component,3,1,0.004298214170825634,0.001421303030093899,0.03625777803730273
jobs_per_industrial_capital_unit_table,lookup,0,1,0.0,0.0006492933606488698,0.005506601252139728
jobs_per_service_capital_unit,component,3,1,0.004123813200246318,0.001847480750257004,0.02527340607282175
jobs_per_service_capital_unit_table,lookup,0,1,0.0,0.0006492933606488698,0.0038382747611640853
labor_force,component,3,1,0.00820874069311996,0.003237872244058273,0.007845570522148676
labor_force_participation_fraction,constant,0,1,0.0,0.0006492933606488698,0.0011914843082475339
land_fertility,stateful,3,3,0.022872632035507375,0.011701538325404756,0.0104883214610265
land_fertility_degredation,component,2,1,0.014072303694687675,0.006193945907016046,0.0017484613621711602
land_fertility_regeneration,component,3,1,0.0064244310604638175,0.006163847348683129,0.0029364450602101396
land_fertility_degredation_rate,component,2,1,0.014830568784162956,0.00262337538455295,0.001026463662042727
land_fertility_degredation_rate_table,lookup,0,1,0.0,0.0006492933606488698,0.0001558632219687101
land_fertility_regeneration_time,component,2,1,0.005851278940450915,0.0023715252819762537,0.0008174341109001328
land_fertility_regeneration_time_table,lookup,0,1,0.0,0.0006492933606488698,0.00012412351873077827
land_fr_cult,component,2,0,0.0,0.0027928768598189007,0.0021663969311539375
land_life_policy_implementation_time,constant,0,1,0.0,0.0006492933606488698,0.013651414154188801
land_life_multiplier_from_land_yield_2,component,3,1,0.004974399526264858,0.0034946527132379626,0.024982266285404984
land_life_multiplier_from_land_yield_1,component,3,1,0.004974399526264858,0.0034946527132379626,0.024982266285404984
land_life_multiplier_from_land_yield_table_1,lookup,0,1,0.0,0.0006492933606488698,0.003793426426400645
land_life_multiplier_from_land_yield_table_2,lookup,0,1,0.0,0.0006492933606488698,0.003793426426400645
urban_and_industrial_land_development_time,constant,0,1,0.0,0.0006492933606488698,0.0007327172214120312
urban_and_industrial_land,stateful,2,2,0.004605196643413204,0.0032174345624214145,0.0008288617607693538
urban_and_industrial_land_required,component,2,1,0.029457673051849577,0.002557518925491506,0.016935787328599315
land_yield_multiplier_from_capital,component,3,2,0.018062294595506605,0.003701898353963592,0.0182177143884353
land_yield_multiplier_from_air_pollution,component,4,1,0.025532374308534438,0.0062677696803004205,0.09755600433697298
land_yield_factor_1,constant,0,1,0.0,0.0006492933606488698,0.023126016492676895
land_yield_factor_2,stateful,2,1,0.017107714691642666,0.0028090617695399945,0.028978942326611634
land_yield_technology,stateful,1,2,0.01721724187123354,0.004648320844237072,0.02532168492760885
technology_development_delay,constant,0,3,0.0,0.0006492933606488698,0.013223983878114284
land_yield_multipler_from_air_pollution_1,component,3,1,0.011547486652127226,0.002968022846756675,0.03751267660013884
land_yield_multipler_from_air_pollution_table_1,lookup,0,1,0.0,0.0006492933606488698,0.005696370576150632
land_yield_multipler_from_air_pollution_table_2,lookup,0,1,0.0,0.0006492933606488698,0.005696370576150632
land_yield_multiplier_from_air_pollution_2,component,3,1,0.011547486652127226,0.002968022846756675,0.03751267660013884
land_yield_multiplier_from_capital_table,lookup,0,1,0.0,0.0006492933606488698,0.002766264514543286
land_yield_technology_change_rate,component,4,1,0.018329364002463953,0.0047039708602304295,0.1377815109618126
land_yield_technology_change_rate_multiplier,component,3,1,0.019370714725343338,0.002378189582930153,0.023501709265380474
land_yield_technology_change_rate_multiplier_table,lookup,0,1,0.0,0.0006492933606488698,0.003568613084963445
lifetime_multiplier_from_health_services,component,3,1,0.015700953126044515,0.0045766038632947805,0.08871578873063535
lifetime_multiplier_from_food,component,3,1,0.0514205759271848,0.0020225218285069625,0.010539553464175259
life_expectancy_normal,constant,0,1,0.0,0.0006492933606488698,0.004297278783493769
lifetime_multiplier_from_persistent_pollution,component,2,1,0.02388195836785463,0.00262337538455295,0.005153419137537994
lifetime_multiplier_from_crowding,component,2,1,0.030768897182383133,0.00394246309227404,0.011789934667518032
life_expectancy_index_lookup,lookup,0,1,0.0,0.0006492933606488698,0.0013790519941616931
lifetime_multiplier_from_food_table,lookup,0,1,0.0,0.0006492933606488698,0.0016005086580754984
lifetime_multiplier_from_health_services_2,component,3,1,0.0074410134147056065,0.0022958899606470803,0.033055264208339555
lifetime_multiplier_from_health_services_1,component,3,1,0.0074410134147056065,0.0022958899606470803,0.033055264208339555
lifetime_multiplier_from_health_services_1_table,lookup,0,1,0.0,0.0006492933606488698,0.00501986576398944
lifetime_multiplier_from_health_services_2_table,lookup,0,1,0.0,0.0006492933606488698,0.00501986576398944
lifetime_multiplier_from_persistent_pollution_table,lookup,0,1,0.0,0.0006492933606488698,0.0007825687108552135
lifetime_perception_delay,constant,0,1,0.0,0.0006492933606488698,0.0008532800461510739
marginal_land_yield_multiplier_from_capital,component,3,1,0.003951053496094443,0.003701898353963592,0.00845755705727535
marginal_land_yield_multiplier_from_capital_table,lookup,0,1,0.0,0.0006492933606488698,0.0012842332289439236
social_discount,constant,0,1,0.0,0.0006492933606488698,0.0018625175427929145
maturation_14_to_15,component,2,2,0.022231199155157172,0.005460334934279444,0.011192894392370794
maturation_44_to_45,component,2,2,0.019467482933033745,0.002837873192203244,0.008968604068986473
maturation_64_to_65,component,2,2,0.017376961487565845,0.002856444107193226,0.005834291230866869
maximum_total_fertility,component,2,2,0.01192411022839004,0.0035602144567856405,0.007700579655198588
maximum_total_fertility_normal,constant,0,1,0.0,0.0006492933606488698,0.0011693393288140252
mortality_0_to_14_table,lookup,0,1,0.0,0.0006492933606488698,0.0017280750114979546
mortality_15_to_44_table,lookup,0,1,0.0,0.0006492933606488698,0.0016841186707176462
mortality_45_to_64_table,lookup,0,1,0.0,0.0006492933606488698,0.001545843121152411
mortality_65_plus_table,lookup,0,1,0.0,0.0006492933606488698,0.001394840055092961
resource_usage_rate,component,3,3,0.038050945785249694,0.003572189966379839,0.050782306694136324
per_capita_resource_use_mult_table,lookup,0,1,0.0,0.0006492933606488698,0.0072057115894704725
per_capita_resource_use_multiplier,component,3,2,0.03217893217893215,0.001421303030093899,0.047446362721971606
persistent_pollution,stateful,3,2,0.06575166938679225,0.012932003996700102,0.0015927782772853223
persistent_pollution_appearance_rate,stateful,2,1,0.05646039449042181,0.004750677337777097,0.0051252976406456
persistent_pollution_assimilation_rate,component,2,1,0.006915377616014559,0.009060631353475249,0.00026655941133621653
persistent_pollution_transmission_delay,constant,0,1,0.0,0.0006492933606488698,0.0007782733392371557
persistent_pollution_generation_agriculture,component,4,1,0.018365640021690978,0.005937462636587578,0.009055871282486333
persistent_pollution_generation_factor_1,constant,0,1,0.0,0.0006492933606488698,0.023550660261726187
persistent_pollution_generation_factor_2,stateful,2,1,0.016495887424003895,0.0031877450779992517,0.029410865541373468
persistent_pollution_technology,stateful,1,2,0.017212026675175,0.00554399197093587,0.025369607737762652
persistent_pollution_generation_industry,component,5,2,0.037150293173951056,0.0036091247426164727,0.03211735050625632
persistent_pollution_in_1970,constant,0,1,0.0,0.0006492933606488698,0.0007373027746159109
persistent_pollution_intensity_industry,component,3,0,0.0,0.00479736243933595,0.048532314169883094
persistent_pollution_technology_change_rate,component,4,1,0.018324148806405413,0.005760327490908168,0.1376650973813676
persistent_pollution_technology_change_mult_table,lookup,0,1,0.0,0.0006492933606488698,0.0034449200588058983
persistent_pollution_technology_change_multiplier,component,3,1,0.0193654995292848,0.0031752600852766716,0.022687208295934003
service_capital,stateful,3,3,0.02600647052876354,0.009307942673876343,0.020786009120990524
resource_conservation_technology,stateful,1,2,0.01820847234859974,0.005085341047172411,0.025435923172985882
resource_technology_change_rate,component,4,1,0.019320594479830148,0.0052216597250587336,0.13881327301593052
resource_technology_change_mult_table,lookup,0,1,0.0,0.0006492933606488698,0.004583020679488047
resource_technology_change_rate_multiplier,component,3,1,0.020361945202709536,0.0027646125222019866,0.030181581179230414
resource_use_fact_2,stateful,2,1,0.017416506588481113,0.0029972148179402045,0.02869922927693854
